GNAME|GNTYPE|LATDMS|LONDMS|ELEV|TOWNNAME
Barker Brook|Stream|43.85451330|-72.26148080|181|THETFORD
Barker Cemetery|Cemetery|44.35033090|-73.07734580|215|HINESBURG
Barker Hill|Summit|43.66478800|-73.15483270|362|CASTLETON
Barker Mountain|Summit|43.48534760|-73.15955180|394|MIDDLETOWN SPRINGS
Barlow Saint School|School|44.80504600|-73.07763740|150|ST. ALBANS CITY
Barnard|Populated Place|43.72867900|-72.61898760|400|BARNARD
Barnard Brook|Stream|43.64256930|-72.52398340|210|WOODSTOCK
Barnard Trail|Trail|43.68756800|-72.67648860|632|BRIDGEWATER
Belvidere Mountain|Summit|44.77338170|-72.55150340|1004|LOWELL
Belyidere Corners|Locale|44.76643740|-72.62400780|352|BELVIDERE
Belvidere Pond|Lake|44.76754850|-72.59650610|348|EDEN
Bemis Hill|Summit|44.58505430|-71.96287300|367|BURKE
Bennett Brook|Stream|44.28200350|-72.51121810|286|EAST MONTPELIER
Bennett Cemetery|Cemetery|44.26811510|-72.50482870|241|EAST MONTPELIER
Bennetts Ridge|Ridge|43.18118750|-73.20010740|678|SANDGATE
Benson|Populated Place|43.70700790|-73.31122520|127|BENSON
Abbott Brook|Stream|43.83340220|-72.30842610|211|THETFORD
Ace Brook|Stream|44.77838170|-72.45122090|299|LOWELL
Adamant|Populated Place|44.32922470|-72.50288530|321|CALAIS
Adams Apple|Summit|44.54644050|-72.81040140|1241|UNDERHILL
Adams Brook|Stream|43.92867640|-72.65510420|193|RANDOLPH
Adams Cemetery|Cemetery|44.15060960|-73.36345820|58|PANTON
Adams Pond|Lake|44.88088040|-72.72013070|260|ENOSBURG
Adams School|School|42.85702590|-72.77981750|549|MARLBORO
Adden Mountain|Summit|44.54088920|-71.67897720|711|GUILDHALL
Addison|Populated Place|44.08866710|-73.30262200|95|ADDISON
Advent Hill|Summit|43.60034800|-72.44175920|417|HARTLAND
Aiken School|School|43.69895250|-73.33233660|126|BENSON
Ainsworth State Park|Park|44.07478560|-72.56316020|473|WILLIAMSTOWN
Aitken State Forest|Forest|43.58312430|-72.92316020|603|MENDON
Albany|Populated Place|44.73088260|-72.37982970|294|ALBANY
Albert C Lord State Forest|Forest|43.42034990|-72.55231450|369|CAVENDISH
Alburg|Populated Place|44.97503990|-73.30013120|38|ALBURG
Alburg Center|Populated Place|44.95365160|-73.26985250|39|ALBURG
Alburg Passage|Channel|44.87643030|-73.27679750|29|ALBURG
Alburg Springs|Populated Place|44.99198480|-73.22290680|39|ALBURG
Baldwin Brook|Stream|43.16063220|-73.25788640|243|SANDGATE
Calendar Brook|Stream|44.58061000|-71.98315110|225|LYNDON
Cram Brook|Stream|43.95951050|-72.46426590|213|CHELSEA
Crosset Brook|Stream|44.32839010|-72.74733970|127|DUXBURY
Echo Lake|Lake|43.74589690|-73.18289020|189|HUBBARDTON
Malletts Creek|Stream|44.56782590|-73.16318530|29|COLCHESTER
Keets Brook|Stream|42.73563870|-72.61370210|202|GUILFORD
Marlboro Branch|Stream|42.93535860|-72.70759370|197|NEWFANE
Rogers Brook|Stream|44.55144440|-71.78342460|350|VICTORY
Long Pond|Lake|44.75060560|-72.01787510|555|WESTMORE
Mud Pond Brook|Stream|44.62505180|-72.23038040|447|GREENSBORO
Terry Brook|Stream|43.16063220|-73.25788640|243|SANDGATE
West Branch Little River|Stream|44.46727600|-72.68650650|213|STOWE
West Branch Passumpsic River|Stream|44.55033290|-71.99148440|216|LYNDON
Willoughby Brook|Stream|44.72032800|-72.13732270|288|BARTON
Abbey Brook|Stream|44.52810560|-73.03735060|143|ESSEX
Alburg Tongue|Cape|44.93170730|-73.29318660|52|ALBURG
Alder Brook|Stream|44.38450000|-72.72567320|180|WATERBURY
Alder Brook|Stream|44.54477540|-72.37177350|244|HARDWICK
Alder Brook|Stream|44.47893930|-73.06762640|79|ESSEX
Alder Brook|Stream|44.87004760|-72.20399100|212|COVENTRY
Alder Brook|Stream|44.92588040|-71.60147700|553|LEMINGTON
Alder Meadow Brook|Stream|43.54701510|-72.42370290|191|HARTLAND
Alder Meadow Brook|Stream|43.47451540|-72.58898270|391|READING
Alder Run|Stream|44.99059970|-72.87263340|140|FRANKLIN
Aldis Hill|Summit|44.81837910|-73.06930360|258|ST. ALBANS CITY
Aldrich Cemetery|Cemetery|43.54423740|-72.43592520|288|HARTLAND
Aldrich Cemetery|Cemetery|44.16478300|-72.68788900|321|NORTHFIELD
Alexander Hill|Summit|43.88339870|-72.73177210|553|ROCHESTER
Alfrecha|Populated Place|43.56423560|-72.97260570|170|CLARENDON
Alger Brook|Stream|43.85312370|-72.37203910|274|STRAFFORD
Algonquin Camp|Locale|44.65199040|-73.21263110|30|MILTON
Alice Hunt Cemetery|Cemetery|45.00587940|-71.55564160|322|CANAAN
Allen Bay|Bay|43.78450580|-73.35289440|25|ORWELL
Allen Brook|Stream|44.57532570|-73.16818550|29|COLCHESTER
Allen Brook|Stream|44.47477210|-73.13623800|65|WILLISTON
Allen Brook|Stream|44.80754820|-72.27121540|246|IRASBURG
Allen Cemetery|Cemetery|44.17977600|-73.32568000|43|FERRISBURG
Allen Hill|Summit|44.14089650|-72.29870830|610|TOPSHAM
Allen Hill|Summit|44.79532620|-72.25593710|463|IRASBURG
Allen Hill|Summit|44.98393480|-72.26288140|332|NEWPORT TOWN
Allen Point|Cape|44.59560180|-73.30513080|31|SOUTH HERO
Allens Hill|Summit|43.58340230|-72.77260070|709|PLYMOUTH
Allis State Park|Park|44.04811920|-72.63621750|611|BROOKFIELD
Allyn Brook|Stream|44.80921590|-71.98231880|407|CHARLESTON
Allyn Cemetery|Cemetery|42.96869180|-72.59259110|420|PUTNEY
Ames Hill|Populated Place|42.85480390|-72.68759300|528|MARLBORO
Ames Hill|Summit|44.70977200|-72.30954980|601|ALBANY
Ames Hill Brook|Stream|42.85785960|-72.60231330|139|BRATTLEBORO
Amherst Lake|Lake|43.48562610|-72.70426390|326|PLYMOUTH
Amidon Pinnacle|Pillar|42.74480520|-72.68509260|369|HALIFAX
Amsden|Populated Place|43.40590580|-72.50592420|190|WEATHERSFIELD
Amsden Cemetery|Cemetery|43.47146010|-72.53036990|264|WEST WINDSOR
Anderson Hill|Summit|44.30839370|-72.06009430|378|BARNET
Andover|Populated Place|43.27729670|-72.69676160|347|ANDOVER
Andover Branch|Stream|43.26035270|-72.65759380|262|CHESTER
Annis Brook|Stream|44.70310630|-72.10898850|351|BARTON
Annis Hill|Summit|44.03228680|-72.52482470|601|CHELSEA
Ansel Pond|Lake|43.83701110|-72.61732320|246|BETHEL
Antone Mountain|Summit|43.25424240|-73.19121810|784|RUPERT
Applelon Brook|Stream|44.58033250|-71.74120180|465|GRANBY
Appletree Bay|Bay|44.49727060|-73.25290610|29|BURLINGTON
Appletree Point|Cape|44.49921500|-73.27290670|31|BURLINGTON
Appletree Shoal|Bar|44.49060410|-73.26679530|29|BURLINGTON
Arcadia Brook|Stream|44.70366230|-72.00648570|354|NEWARK
Armstrong Hill|Summit|44.70060500|-72.88096650|429|FLETCHER
Arnold Bay|Bay|44.14783180|-73.36762500|29|PANTON
Arnolds Ledge|Cliff|43.75367370|-73.25594720|150|BENSON
Arrowhead Mountain|Summit|44.67060290|-73.12013450|279|MILTON
Arrowhead Mountain Lake|Reservoir|44.64143670|-73.11235570|85|MILTON
Ascutney|Populated Place|43.40701720|-72.40703460|125|WEATHERSFIELD
Ascutney Notch|Gap|43.43979410|-72.49147980|318|WEST WINDSOR
Ascutney State Park|Park|43.44201650|-72.43925730|564|WINDSOR
Atcherson Hollow|Valley|43.16202150|-72.55481270|193|ROCKINGHAM
Athens|Populated Place|43.13368880|-72.56786850|207|ATHENS
Athens Brook|Stream|43.12035580|-72.56759080|204|ATHENS
Athens Pond|Lake|43.12257780|-72.60398060|355|ATHENS
Atwater Bay|Bay|43.45923710|-73.21844140|148|WELLS
Atwood Brook|Stream|43.66451330|-72.57481870|272|POMFRET
Austin Hill|Summit|43.58451100|-73.40872420|197|WEST HAVEN
Austin Pond|Reservoir|43.71589750|-73.19372320|135|HUBBARDTON
Austine School|School|42.84258200|-72.57536820|177|BRATTLEBORO
Avalon Beach|Populated Place|43.64006570|-73.22511110|143|CASTLETON
Averell Cemetery|Cemetery|42.86119230|-72.85120850|479|WILMINGTON
Averill|Populated Place|44.99810180|-71.71037050|516|NORTON
Averill Mountain|Summit|45.00087950|-71.72453780|684|NORTON
Avery Brook|Stream|43.79062550|-72.25564630|130|THETFORD
Ayers Brook|Stream|43.92423210|-72.65454850|208|RANDOLPH
Ayers Hill|Summit|45.01226760|-72.73541550|394|BERKSHIRE
Babcock Brook|Stream|43.62895880|-72.45870430|185|HARTLAND
Babcock Cemetery|Cemetery|43.73840240|-72.44092750|161|SHARON
Babcock Hill|Summit|44.62838480|-72.30677170|635|GREENSBORO
Back Pond|Lake|44.81421570|-71.86787260|360|BRIGHTON
Badger Brook|Stream|44.45838980|-72.10843130|320|DANVILLE
Badger Mountain|Summit|44.38394810|-71.91759230|533|WATERFORD
Bahannan Brook|Stream|44.52283040|-72.68595190|314|MORRISTOWN
Bailey Brook|Stream|43.50118170|-72.56287120|312|READING
Bailey Brook|Stream|44.52255380|-72.30677140|320|HARDWICK
Bailey Brook|Stream|44.77893840|-71.81620500|356|BRIGHTON
Bailey Pond|Reservoir|44.32728080|-72.34537970|379|MARSHFIELD
Baileys Mills|Populated Place|43.29785210|-72.60481480|192|CHESTER
Baker Brook|Stream|43.19229860|-73.21260760|384|SANDGATE
Baker Brook|Stream|44.15422910|-72.42760170|348|ORANGE
Baker Cemetery|Cemetery|42.73786090|-72.61564660|211|GUILFORD
Baker Hill|Summit|44.60282990|-72.29510460|580|GREENSBORO
Baker Pond|Lake|44.74643800|-72.23482550|351|BARTON
Baker Pond|Reservoir|44.06895200|-72.63649580|397|BROOKFIELD
Bald Hill|Summit|43.10618950|-72.45147720|213|WESTMINSTER
Bald Hill|Summit|43.39951630|-73.17510730|637|PAWLET
Bald Hill|Summit|43.82645150|-73.15955810|214|SUDBURY
Bald Hill|Summit|44.31922220|-72.90734240|924|HUNTINGTON
Bald Hill|Summit|44.49727360|-72.91984670|581|JERICHO
Bald Hill|Summit|44.58727130|-73.07179820|318|WESTFORD
Bald Hill Pond|Lake|44.73949470|-71.97787420|548|WESTMORE
Bald Knob|Summit|44.66616090|-72.89624360|310|FLETCHER
Bald Mountain|Summit|44.61866460|-71.61342050|467|MAIDSTONE
Bald Mountain|Summit|43.18868760|-73.23316360|588|SANDGATE
